poetry@query	给我背一首满江红。	o o o o o b-name i-name i-name o
novel@query	我要看现代重生小说	o o o b-category i-category i-category i-category o o
telephone@dial	呼叫a 二小姐	o o o o b-name i-name i-name
stock@riserate_query	陕西金叶近日的涨幅情况	b-name i-name i-name i-name o o o o o o o
stock@query	招商银行港股的股价	b-name i-name i-name i-name o o o o o
map@route	我想到科大讯飞走高速路线	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o o o
cookbook@query	怎样炒肉。	o o b-dishname i-dishname o
cookbook@query	干贝怎么做？	b-ingredient i-ingredient o o o o
flight@query	请查询一下深圳飞往上海的航班	o o o o o b-startloc_city i-startloc_city o o b-endloc_city i-endloc_city o o o
epg@query	湖南卫视节目录	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
message@send	给严巧发短信	o b-name i-name o o o
stock@query	中国太保股票	b-name i-name i-name i-name o o
cookbook@query	酸辣汤的做法。	b-dishname i-dishname i-dishname o o o o
flight@query	到武汉的航班	o b-endloc_city i-endloc_city o o o
message@sendcontacts	把上官围的电话发给戴勋	o b-name i-name i-name o o o o o b-receiver i-receiver
tvchannel@play	cctv农业	b-name i-name i-name i-name i-name i-name
novel@query	找找三毛的爱情小说	o o b-author i-author o b-category i-category o o
novel@query	我要看饶雪漫的小说左耳	o o o b-author i-author i-author o o o b-name i-name
stock@query	讯飞科技股票价格	b-name i-name i-name i-name o o o o
epg@query	现在有什么好的电影呢？	b-datetime_time i-datetime_time o o o o o b-category i-category o o
tvchannel@play	高淳转播2	b-name i-name i-name i-name i-name
news@play	读新闻听。	o o o o o
news@play	零七播报新闻。	o o o o o o o
cookbook@query	冰糖雪梨	b-dishname i-dishname i-dishname i-dishname
telephone@query	查看王老师的号码	o o b-name i-name i-name o o o
map@position	合肥百货大楼在哪里	b-location_city i-location_city b-location_poi i-location_poi i-location_poi i-location_poi o o o
health@query	甲亢。	b-keyword i-keyword o
website@open	打开索尼官方网站	o o b-name i-name o o o o
stock@query	中国银行股票怎么样	b-name i-name i-name i-name o o o o o
poetry@query	来首苏轼的词。	o o b-author i-author o o o
cookbook@query	花格等蛋的做法。	o o o b-ingredient o o o o
train@query	查一下杭州到鹰潭的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
app@launch	魔神战记	b-name i-name i-name i-name
news@play	盘锦新闻。	b-location_city i-location_city o o o
map@position	辽宁大连在哪里	b-location_province i-location_province b-location_city i-location_city o o o
video@query	13年的电影	b-datetime_date i-datetime_date i-datetime_date o b-category i-category
train@query	广州去昆明的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	赵柏田鸡怎么做啊？	o o b-ingredient i-ingredient o o o o o
map@route	去汽车东站怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
news@play	播放最近新闻。	o o b-datetime_date i-datetime_date o o o
translation@translation	桔子英文怎么说	b-content i-content b-target i-target o o o
radio@launch	一起听听新疆人民广播电台	o o o o b-name i-name i-name i-name i-name i-name i-name i-name
news@play	我想听足球类新闻	o o o b-category i-category o o o
translation@translation	我要和妹妹睡觉英语怎么说	b-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
epg@query	湖南卫视娱乐节目。	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-category i-category o o o
video@query	妖精的尾巴	b-name i-name i-name i-name i-name
video@query	你给我推荐个电影	o o o o o o b-category i-category
app@launch	打开qq登陆到聊天模式	o o b-name i-name o o o o o o o
radio@launch	请帮我调频97.5湖南人民广播电台文艺台	o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
translation@translation	苹果翻译成英语	b-content i-content o o o b-target i-target
cookbook@query	臭豆腐怎么做啊？	b-dishname i-dishname i-dishname o o o o o
telephone@dial	呼叫鹏鹏	o o b-name i-name
map@position	讯飞语点我现在在哪里	o o o o o o o o o o
cookbook@query	我想听回锅肉做法。	o o o b-dishname i-dishname i-dishname o o o
news@play	看新闻。	o o o o
train@query	潍坊到济南的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
music@play	给我放一首最炫民族风。	o o o o o b-song i-song i-song i-song i-song o
map@position	移动公司在哪里呀	b-location_poi i-location_poi i-location_poi i-location_poi o o o o
cookbook@query	请问牛排怎么做	o o b-dishname i-dishname o o o
cookbook@query	腊鱼头怎么做？	b-dishname i-dishname i-dishname o o o o
train@query	查询广州到北京的火车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
train@query	从东莞到厦门的火车票	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
epg@query	广西电视台现在播放什么节目？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o o o o o
message@view	查看短消息	o o o o o
health@query	沙眼。	b-keyword i-keyword o
train@query	帮我查一下从开封到郑州的火车几点发	o o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o
cookbook@query	肉肉怎么腌制？	b-ingredient i-ingredient o o o o o
email@launch	给我打开mail	o o o o o o o o
poetry@query	你给我背一首白居易的诗。	o o o o o o b-author i-author i-author o o o
map@route	到步行街不走高架的路线是哪条	o b-endloc_poi i-endloc_poi i-endloc_poi o o o o o o o o o o
message@send	我现在要发一条信息	o o o o o o o o o
map@route	平阳怎么走吗	b-endloc_area i-endloc_area o o o o
poetry@default	分手时，背一首诗吧？	o o o o o o o o o o
tvchannel@play	在线观看中央七套	o o o o b-name i-name i-name i-name
message@sendcontacts	把哥哥的电话发给殷龙	o b-name i-name o o o o o b-receiver i-receiver
riddle@query	不是我是说我给你猜个谜语吧！	o o o o o o o o o o b-category i-category o o
train@query	晋江到温州的火车票	b-startloc_area i-startloc_area o b-endloc_city i-endloc_city o o o o
video@query	下半年的电视剧	b-datetime_date i-datetime_date i-datetime_date o b-category i-category i-category
cookbook@query	狗光鱼怎么做？	o o b-ingredient o o o o
telephone@dial	我想打电话给李四	o o o o o o b-name i-name
cookbook@query	红烧肉怎么做？嗯？	b-dishname i-dishname i-dishname o o o o o o
video@query	大耳朵图图获	b-name i-name i-name i-name i-name o
tvchannel@play	东方台	b-name i-name i-name
news@play	我要看新闻玩不？	o o o o o o o o
news@play	今天东莞新闻。	b-datetime_date i-datetime_date b-location_city i-location_city o o o
bus@query	从无锡市到西安市的汽车。	o b-src i-src i-src o b-dest i-dest i-dest o o o o
novel@query	有什么好看的校园小说	o o o b-popularity i-popularity o b-category i-category o o
cookbook@query	糖醋鲤鱼怎么做？而？	b-dishname i-dishname i-dishname i-dishname o o o o o o
cookbook@query	米粉怎么炒？	b-ingredient i-ingredient o o o o
video@query	搜王菲演唱会	o b-artist i-artist b-tag i-tag i-tag
poetry@default	读一首古诗。	o o o o o o
radio@launch	请帮我调频89.6武汉交通广播电台	o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
video@query	找一下非诚勿扰娱乐节目	o o o b-name i-name i-name i-name b-tag i-tag b-category i-category
flight@query	上海去武汉的航班	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	瘦肉粥。	b-dishname i-dishname i-dishname o
weather@query	今天温度是多少	b-datetime_date i-datetime_date b-subfocus i-subfocus o o o
video@query	小c我想看北京青年	o o o o o b-name i-name i-name i-name
cookbook@query	葫芦鸡怎么做？	b-dishname i-dishname i-dishname o o o o
cookbook@query	鱼要怎么煮才好吃	b-ingredient o o o o o o o
tvchannel@play	很想看安徽卫视来着	o o o b-name i-name i-name i-name o o
cookbook@query	鱼肉怎么做？	b-ingredient i-ingredient o o o o
flight@query	4月28号上海到南昌的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
poetry@query	念个唐诗给我听。	o o b-dynasty o o o o o
cinemas@query	苏电影我们都是坏孩子。	o o o b-film i-film i-film i-film i-film i-film i-film o
stock@query	罗顿发展的股票	b-name i-name i-name i-name o o o
cookbook@query	红烧肉的做法啊！	b-dishname i-dishname i-dishname o o o o o
translation@translation	笑话用英语怎么说	b-content i-content o b-target i-target o o o
telephone@dial	打电话给丹丹移动	o o o o b-name i-name b-teleoperator i-teleoperator
video@query	我想看珍珠港	o o o b-name i-name i-name
cookbook@query	肥肠的做法	b-ingredient i-ingredient o o o
poetry@query	朗读游子吟。	o o b-name i-name i-name o
poetry@query	你背首唐诗给我听听啊	o o o b-dynasty o o o o o o
cookbook@query	怎么做炸鸡	o o o b-dishname i-dishname
riddle@query	查个字谜。	o o b-category i-category o
train@query	查询武汉到茂名的火车	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
health@query	得了艾滋病怎么办	o o b-keyword i-keyword i-keyword o o o
poetry@query	背诵一首唐诗	o o o o b-dynasty o
stock@query	截止目前银鸽投资股份的市值是多少	o o o o b-name i-name i-name i-name o o o o o o o o
cookbook@query	罐焖牛肉怎么做？	o b-dishname i-dishname i-dishname o o o o
stock@query	帮我查一下江西铜业股票	o o o o o b-name i-name i-name i-name o o
music@play	播放音乐喜帖街。	o o o o b-song i-song i-song o
message@send	给马翊桐发信息	o b-name i-name i-name o o o
video@query	读心专家	b-name i-name i-name i-name
cookbook@query	还路阻少茶汤的做法。	o o o o b-dishname i-dishname o o o o
video@query	智取威虎山	b-name i-name i-name i-name i-name
cookbook@query	慕斯的做法。	b-ingredient i-ingredient o o o o
cookbook@query	大骨汤的做法。	b-ingredient i-ingredient i-ingredient o o o o
telephone@dial	打电话给陈永聪	o o o o b-name i-name i-name
cookbook@query	我说白鱼怎么做	o o b-ingredient i-ingredient o o o
tvchannel@play	浙江电视台	b-name i-name i-name i-name i-name
video@query	爱情工寓	b-name i-name i-name i-name
telephone@dial	打电话给谢文豪	o o o o b-name i-name i-name
poetry@query	床前明月光下一句是怎么说	b-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
train@query	深圳到开封的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	有什么特色美食。	o o o b-keyword i-keyword i-keyword i-keyword o
tvchannel@play	打开浦口新闻综合频道	o o b-name i-name i-name i-name i-name i-name i-name i-name
app@query	搜索结束软件	o o b-name i-name o o
website@open	打开浦发银行	o o b-name i-name i-name i-name
cookbook@query	红豆沙怎么做？	b-dishname i-dishname i-dishname o o o o
flight@query	查询上海到丽江飞机票的价格	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o o o
bus@query	吉林到大连的车。	b-src i-src o b-dest i-dest o o o
cookbook@query	青鱼做法视频	b-ingredient i-ingredient o o o o
video@query	蓝猫龙骑团	b-name i-name i-name i-name i-name
map@position	湖里公园在哪里	b-location_poi i-location_poi i-location_poi i-location_poi o o o
cookbook@query	麻辣烫做法。	b-dishname i-dishname i-dishname o o o
cookbook@query	烤鸡翅怎么做？	b-dishname i-dishname i-dishname o o o o
message@send	给杨李鹏发短信	o b-name i-name i-name o o o
cookbook@query	酸菜鱼怎么做啊	b-dishname i-dishname i-dishname o o o o
cookbook@query	做鱼怎么做？	o b-ingredient o o o o
cookbook@query	牛肉的做法。	b-ingredient i-ingredient o o o o
video@query	古墓丽影	b-name i-name i-name i-name
email@replay_all	全部应答	o o o o
news@play	噗我想听新闻。	o o o o o o o
message@send	发信息给盛吉	o o o o b-name i-name
message@send	发信息给董昊老婆	o o o o b-name i-name i-name i-name
email@create	帮我写个邮件	o o o o o o
match@query	中超的比赛时间。	b-category i-category o o o o o o
cookbook@query	大薯条怎么做？	o b-dishname i-dishname o o o o
cookbook@query	茄子鸡蛋怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
stock@query	查询濮耐股份的股票	o o b-name i-name i-name i-name o o o
health@query	咳嗽怎么办	b-keyword i-keyword o o o
cookbook@query	土豆烧肉。	b-dishname i-dishname i-dishname i-dishname o
match@query	武汉卓尔的赛程。	b-name i-name i-name i-name o o o o
train@query	星期四去上海的火车	b-startdate_date i-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
